[ 2013-07-31 16:40:10 | АСКУЭ | OK ]: Запуск скрипта 'ta_energy' с параметрами: --port_file=/dev/ttyS1 --port_parity=no --port_dbits=8 --port_sbits=1 --port_speed=9600 --device=23 --timeout=3000 --journal_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.db.sqlite3 --journal_flashback=0 --log_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.log --verbose
[ 2013-07-31 16:40:10 | АСКУЭ | ERROR ]: Скрипт 'ta_energy' завершён с кодом: 1
[ 2013-07-31 16:40:10 | АСКУЭ | OK ]: Запуск скрипта 'ta_profile' с параметрами: --port_file=/dev/ttyS1 --port_parity=no --port_dbits=8 --port_sbits=1 --port_speed=9600 --device=23 --timeout=3000 --journal_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.db.sqlite3 --journal_flashback=0 --log_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.log --verbose
[ 2013-07-31 16:40:10 | АСКУЭ | ERROR ]: Скрипт 'ta_profile' завершён с кодом: 1
[ 2013-07-31 16:40:10 | АСКУЭ | OK ]: Опрос устройства: '74'
[ 2013-07-31 16:40:10 | АСКУЭ | OK ]: Запуск скрипта 'synchonize' с параметрами: --port_file=/dev/ttyS1 --port_parity=no --port_dbits=8 --port_sbits=1 --port_speed=9600 --device=74 --timeout=4000 --journal_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.db.sqlite3 --journal_flashback=0 --log_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.log --verbose
[ 2013-07-31 16:40:10 | АСКУЭ | ERROR ]: Скрипт 'synchonize' завершён с кодом: 1
[ 2013-07-31 16:40:10 | АСКУЭ | OK ]: Запуск скрипта 'ta_energy' с параметрами: --port_file=/dev/ttyS1 --port_parity=no --port_dbits=8 --port_sbits=1 --port_speed=9600 --device=74 --timeout=4000 --journal_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.db.sqlite3 --journal_flashback=0 --log_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.log --verbose
[ 2013-07-31 16:40:10 | АСКУЭ | ERROR ]: Скрипт 'ta_energy' завершён с кодом: 1
[ 2013-07-31 16:40:10 | АСКУЭ | OK ]: Запуск скрипта 'ta_profile' с параметрами: --port_file=/dev/ttyS1 --port_parity=no --port_dbits=8 --port_sbits=1 --port_speed=9600 --device=74 --timeout=4000 --journal_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.db.sqlite3 --journal_flashback=0 --log_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.log --verbose
[ 2013-07-31 16:40:10 | АСКУЭ | ERROR ]: Скрипт 'ta_profile' завершён с кодом: 1
[ 2013-07-31 16:40:10 | АСКУЭ | OK ]: Старт создания отчётов.
[ 2013-07-31 16:40:10 | АСКУЭ | OK ]: Запуск скрипта 'ta_profile' с параметрами: --parametr=week --journal_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.db.sqlite3 --journal_flashback=0 --log_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.log --verbose
[ 2013-07-31 16:40:10 | АСКУЭ | ERROR ]: Скрипт 'dfl' завершён с кодом: 1
[ 2013-07-31 16:40:10 | АСКУЭ | OK ]: Запуск скрипта 'ta_profile' с параметрами: --parametr=week --journal_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.db.sqlite3 --journal_flashback=0 --log_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.log --verbose
[ 2013-07-31 16:40:10 | АСКУЭ | ERROR ]: Скрипт 'dtl' завершён с кодом: 1
[ 2013-07-31 16:40:10 | АСКУЭ | OK ]: Запуск скрипта 'ta_profile' с параметрами: --parametr=day0 --journal_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.db.sqlite3 --journal_flashback=0 --log_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.log --verbose
[ 2013-07-31 16:40:10 | АСКУЭ | ERROR ]: Скрипт 'counter_tmta' завершён с кодом: 1
[ 2013-07-31 16:40:10 | АСКУЭ | OK ]: Цикл опроса прерван в связи с завершением итерации цикла.
